priority_rank,channel_name,channel_id,profile_url,country,market,subscribers,avg_views,email,ras_score,bd_verdict,category,source,outreach_status,reply_status,last_contact_date,notes
62,EL MÍTICO,UCKMFiPESyBuZeTfzmEiwdPw,https://www.youtube.com/channel/UCKMFiPESyBuZeTfzmEiwdPw,AR,AR,37600,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
88,TEV: Trading En Vivo,UClpd6WX5LKh_wHDnxOJxcYA,https://www.youtube.com/channel/UClpd6WX5LKh_wHDnxOJxcYA,AR,AR,23100,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
105,Trading Institucional,UComAPjOi0t2yAlfsxQesg_A,https://www.youtube.com/channel/UComAPjOi0t2yAlfsxQesg_A,AR,AR,18000,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
130,RHCapital,UCnskP5TgzaoGtmeISH6MA8w,https://www.youtube.com/channel/UCnskP5TgzaoGtmeISH6MA8w,AR,AR,12800,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
144,Cardano Castellano,UCf_fc4Qy1qVIO7A0pqU5AoQ,https://www.youtube.com/channel/UCf_fc4Qy1qVIO7A0pqU5AoQ,AR,AR,10600,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
147,WolfX,UCsF4wwCCo4WfO70Sf7FdA1Q,https://www.youtube.com/channel/UCsF4wwCCo4WfO70Sf7FdA1Q,AR,AR,10200,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
153,FINANFLIX,UCJq3Orw-o_-1wiCyPA3k6aA,https://www.youtube.com/channel/UCJq3Orw-o_-1wiCyPA3k6aA,AR,AR,9070,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
161,Altcoin Daily en Español,UC7KjtEJT6HvI3kBcF2I4vXg,https://www.youtube.com/channel/UC7KjtEJT6HvI3kBcF2I4vXg,AR,AR,7560,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
176,Enzo Fernandux,UCRHu-zacjoNI_4WWI9-Z8Tw,https://www.youtube.com/channel/UCRHu-zacjoNI_4WWI9-Z8Tw,AR,AR,5470,,,,,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,
