priority_rank,channel_name,channel_id,profile_url,country,market,subscribers,avg_views,email,ras_score,bd_verdict,category,source,outreach_status,reply_status,last_contact_date,notes,comment_score
1,EL MÍTICO,UCKMFiPESyBuZeTfzmEiwdPw,https://www.youtube.com/channel/UCKMFiPESyBuZeTfzmEiwdPw,AR,AR,37600,,,71.2,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
2,Altcoin Daily en Español,UC7KjtEJT6HvI3kBcF2I4vXg,https://www.youtube.com/channel/UC7KjtEJT6HvI3kBcF2I4vXg,AR,AR,7560,,,65.3,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
3,FINANFLIX,UCJq3Orw-o_-1wiCyPA3k6aA,https://www.youtube.com/channel/UCJq3Orw-o_-1wiCyPA3k6aA,AR,AR,9070,,,63.5,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
4,Trading Institucional,UComAPjOi0t2yAlfsxQesg_A,https://www.youtube.com/channel/UComAPjOi0t2yAlfsxQesg_A,AR,AR,18000,,,58.2,Watchlist,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
5,TEV: Trading En Vivo,UClpd6WX5LKh_wHDnxOJxcYA,https://www.youtube.com/channel/UClpd6WX5LKh_wHDnxOJxcYA,AR,AR,23100,,,56.7,Watchlist,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
6,Enzo Fernandux,UCRHu-zacjoNI_4WWI9-Z8Tw,https://www.youtube.com/channel/UCRHu-zacjoNI_4WWI9-Z8Tw,AR,AR,5470,,,56.2,Watchlist,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
7,WolfX,UCsF4wwCCo4WfO70Sf7FdA1Q,https://www.youtube.com/channel/UCsF4wwCCo4WfO70Sf7FdA1Q,AR,AR,10200,,,54.2,Watchlist,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
8,RHCapital,UCnskP5TgzaoGtmeISH6MA8w,https://www.youtube.com/channel/UCnskP5TgzaoGtmeISH6MA8w,AR,AR,12800,,,51.6,Watchlist,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
9,Cardano Castellano,UCf_fc4Qy1qVIO7A0pqU5AoQ,https://www.youtube.com/channel/UCf_fc4Qy1qVIO7A0pqU5AoQ,AR,AR,10600,,,40.5,Exclude,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
